Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text
"cheer-bow-glitter","Cheer Bow (Glitter)","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","One Size","Color","Midnight Purple","","","",CHEER-BOW-GLITTER-ONE SIZE,"300",shopify,"40","deny",manual,9.99,,"TRUE",TRUE,""
"cheer-sparkle-tee","Cheer Sparkle Tee","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","S","Color","Midnight Purple","","","",CHEER-SPARKLE-TEE-S,"300",shopify,"40","deny",manual,21.99,,"TRUE",TRUE,""
"cheer-sparkle-tee","Cheer Sparkle Tee","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","M","Color","Midnight Purple","","","",CHEER-SPARKLE-TEE-M,"300",shopify,"40","deny",manual,21.99,,"TRUE",TRUE,""
"cheer-sparkle-tee","Cheer Sparkle Tee","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","L","Color","Midnight Purple","","","",CHEER-SPARKLE-TEE-L,"300",shopify,"40","deny",manual,21.99,,"TRUE",TRUE,""
"cheer-sparkle-tee","Cheer Sparkle Tee","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","XL","Color","Midnight Purple","","","",CHEER-SPARKLE-TEE-XL,"300",shopify,"40","deny",manual,21.99,,"TRUE",TRUE,""
"cheer-sparkle-tee","Cheer Sparkle Tee","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","2XL","Color","Midnight Purple","","","",CHEER-SPARKLE-TEE-2XL,"300",shopify,"40","deny",manual,21.99,,"TRUE",TRUE,""
"cheer-sparkle-tee","Cheer Sparkle Tee","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","3XL","Color","Midnight Purple","","","",CHEER-SPARKLE-TEE-3XL,"300",shopify,"40","deny",manual,21.99,,"TRUE",TRUE,""
"cheer-sparkle-tee","Cheer Sparkle Tee","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","4XL","Color","Midnight Purple","","","",CHEER-SPARKLE-TEE-4XL,"300",shopify,"40","deny",manual,21.99,,"TRUE",TRUE,""
"cheer-sparkle-tee","Cheer Sparkle Tee","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","5XL","Color","Midnight Purple","","","",CHEER-SPARKLE-TEE-5XL,"300",shopify,"40","deny",manual,21.99,,"TRUE",TRUE,""
"cheer-sparkle-tee","Cheer Sparkle Tee","<p>Cheer Corner collection.</p>","FluxRetail","Apparel & Accessories > Clothing","Cheer","cheer, teen, school",TRUE,"Size","6XL","Color","Midnight Purple","","","",CHEER-SPARKLE-TEE-6XL,"300",shopify,"40","deny",manual,21.99,,"TRUE",TRUE,""
